98214,50351
98214,51580
98424,51580
98424,52775
97835,52775
97835,54031
98280,54031
98280,55255
98185,55255
98185,56400
97492,56400
97492,57580
97181,57580
97181,58767
96943,58767
96943,60099
97387,60099
97387,61154
96525,61154
96525,62333
96241,62333
96241,63577
96173,63577
96173,64630
95467,64630
95467,65838
95255,65838
95255,67056
95043,67056
95043,68144
94479,68144
94479,69422
94364,69422
94364,70151
93028,70151
93028,71553
93141,71553
93141,72403
92138,72403
92138,73396
91437,73396
91437,74694
91258,74694
91258,75858
90820,75858
90820,76527
89618,76527
89618,77477
88870,77477
88870,78459
88170,78459
88170,79483
87520,79483
87520,80743
87147,80743
87147,81679
86362,81679
86362,82742
85714,82742
85714,83382
84609,83382
84609,84297
83801,84297
83801,85151
82929,85151
82929,85883
81947,85883
81947,86364
80759,86364
80759,87308
79971,87308
79971,87984
78961,87984
78961,89274
78401,89274
78401,89734
77228,89734
77228,90222
76090,90222
76090,90825
75035,90825
75035,91934
74275,91934
74275,92419
73141,92419
73141,92344
71727,92344
71727,93469
70930,93469
70930,94020
69838,94020
69838,93988
68498,93988
68498,94718
67485,94718
67485,95405
66440,95405
66440,95681
65243,95681
65243,96013
64069,96013
64069,96218
62860,96218
62860,96432
61661,96432
61661,96446
60421,96446
60421,96946
59291,96946
59291,97068
58082,97068
58082,97623
56940,97623
56940,97487
55696,97487
55696,97336
54465,97336
54465,97533
53271,97533
53271,97961
52081,97961
52081,98292
50871,98292
50871,98225
49648,98225
49648,98411
48419,98411
48419,97852
47223,97852
47223,98176
45977,98176
45977,97339
44836,97339
44836,97413
43609,97413
43609,97285
42402,97285
42402,97397
41147,97397
41147,97430
39891,97430
39891,96435
38866,96435
38866,96655
37556,96655
37556,95624
36584,95624
36584,95699
35294,95699
35294,95477
34084,95477
34084,95075
32931,95075
32931,94810
31720,94810
31720,93556
30931,93556
30931,93303
29719,93303
29719,92789
28622,92789
28622,92098
27617,92098
27617,91641
26488,91641
26488,91213
25332,91213
25332,90685
24226,90685
24226,90142
23121,90142
23121,89270
22239,89270
22239,88648
21183,88648
21183,87485
20544,87485
20544,86691
19633,86691
19633,86161
18495,86161
18495,85735
17237,85735
17237,84379
16839,84379
16839,83616
15889,83616
15889,83036
14734,83036
14734,82116
13926,82116
13926,80719
13683,80719
13683,80014
12637,80014
12637,79011
11949,79011
11949,77972
11317,77972
11317,77013
10579,77013
10579,75931
10022,75931
10022,75223
8867,75223
8867,74146
8287,74146
8287,72758
8283,72758
8283,71780
7551,71780
7551,70710
6987,70710
6987,69862
5926,69862
5926,68467
6085,68467
6085,67429
5424,67429
5424,66459
4544,66459
4544,65211
4412,65211
4412,63988
4250,63988
4250,62862
3775,62862
3775,61613
3759,61613
3759,60550
2979,60550
2979,59304
2988,59304
2988,58041
3169,58041
3169,56941
2368,56941
2368,55761
1970,55761
1970,54536
1904,54536
1904,53327
1650,53327
1650,52065
2410,52065
2410,50860
2307,50860
2307,50327
94862,50327
94862,48448
2476,48448
2476,47210
1932,47210
1932,45986
1929,45986
1929,44754
1901,44754
1901,43550
2145,43550
2145,42393
2659,42393
2659,41205
2909,41205
2909,40066
3391,40066
3391,38856
3520,38856
3520,37750
4071,37750
4071,36357
3602,36357
3602,35303
4327,35303
4327,34006
4301,34006
4301,33110
5398,33110
5398,31732
5218,31732
5218,30710
5938,30710
5938,29727
6713,29727
6713,28738
7443,28738
7443,27424
7538,27424
7538,26483
8350,26483
8350,25393
8888,25393
8888,24571
